Location,Sex or gender,Age at divorce,Indicator,Unit Of Measure,VALUE
Ontario,Females,40 to 44 years,Number of divorces,Number,1851.0
Ontario,Females,45 to 49 years,Number of divorces,Number,1404.0
Ontario,Females,50 to 54 years,Number of divorces,Number,1008.0
Ontario,Females,55 to 59 years,Number of divorces,Number,516.0
Ontario,Females,60 to 64 years,Number of divorces,Number,234.0
Ontario,Females,65 years and over,Number of divorces,Number,180.0
Ontario,Both sexes,All ages,Number of divorces,Number,39618.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,117.0
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3738.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,9147.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,8544.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,5637.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,4191.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3462.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2328.0
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1296.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,639.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,519.0
Ontario,Males,All ages,Number of divorces,Number,19809.0
Ontario,Males,Under 20 years,Number of divorces,Number,15.0
Ontario,Males,20 to 24 years,Number of divorces,Number,1125.0
Ontario,Males,25 to 29 years,Number of divorces,Number,4191.0
Ontario,Males,30 to 34 years,Number of divorces,Number,4458.0
Ontario,Males,35 to 39 years,Number of divorces,Number,3081.0
Ontario,Males,40 to 44 years,Number of divorces,Number,2256.0
Ontario,Males,45 to 49 years,Number of divorces,Number,1917.0
Ontario,Males,50 to 54 years,Number of divorces,Number,1290.0
Ontario,Males,55 to 59 years,Number of divorces,Number,759.0
Ontario,Males,60 to 64 years,Number of divorces,Number,384.0
Ontario,Males,65 years and over,Number of divorces,Number,333.0
Ontario,Females,All ages,Number of divorces,Number,19809.0
Ontario,Females,Under 20 years,Number of divorces,Number,102.0
Ontario,Females,20 to 24 years,Number of divorces,Number,2613.0
Ontario,Females,25 to 29 years,Number of divorces,Number,4956.0
Ontario,Females,30 to 34 years,Number of divorces,Number,4086.0
Ontario,Females,35 to 39 years,Number of divorces,Number,2556.0
Ontario,Females,40 to 44 years,Number of divorces,Number,1935.0
Ontario,Females,45 to 49 years,Number of divorces,Number,1545.0
Ontario,Females,50 to 54 years,Number of divorces,Number,1038.0
Ontario,Females,55 to 59 years,Number of divorces,Number,537.0
Ontario,Females,60 to 64 years,Number of divorces,Number,255.0
Ontario,Females,65 years and over,Number of divorces,Number,186.0
Ontario,Both sexes,All ages,Number of divorces,Number,41385.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,126.0
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3852.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,9624.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,9021.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,6102.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,4317.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3450.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2364.0
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1380.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,645.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,504.0
Ontario,Males,All ages,Number of divorces,Number,20691.0
Ontario,Males,Under 20 years,Number of divorces,Number,9.0
Ontario,Males,20 to 24 years,Number of divorces,Number,1203.0
Ontario,Males,25 to 29 years,Number of divorces,Number,4371.0
Ontario,Males,30 to 34 years,Number of divorces,Number,4704.0
Ontario,Males,35 to 39 years,Number of divorces,Number,3282.0
Ontario,Males,40 to 44 years,Number of divorces,Number,2361.0
Ontario,Males,45 to 49 years,Number of divorces,Number,1890.0
Ontario,Males,50 to 54 years,Number of divorces,Number,1344.0
Ontario,Males,55 to 59 years,Number of divorces,Number,816.0
Ontario,Males,60 to 64 years,Number of divorces,Number,381.0
Ontario,Males,65 years and over,Number of divorces,Number,330.0
Ontario,Females,All ages,Number of divorces,Number,20694.0
Ontario,Females,Under 20 years,Number of divorces,Number,117.0
Ontario,Females,20 to 24 years,Number of divorces,Number,2649.0
Ontario,Females,25 to 29 years,Number of divorces,Number,5253.0
Ontario,Females,30 to 34 years,Number of divorces,Number,4317.0
Ontario,Females,35 to 39 years,Number of divorces,Number,2820.0
Ontario,Females,40 to 44 years,Number of divorces,Number,1956.0
Ontario,Females,45 to 49 years,Number of divorces,Number,1560.0
Ontario,Females,50 to 54 years,Number of divorces,Number,1020.0
Ontario,Females,55 to 59 years,Number of divorces,Number,564.0
Ontario,Females,60 to 64 years,Number of divorces,Number,264.0
Ontario,Females,65 years and over,Number of divorces,Number,174.0
Ontario,Both sexes,All ages,Number of divorces,Number,43881.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,99.0
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3810.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,10236.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,10110.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,6519.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,4533.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3528.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2442.0
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1467.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,636.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,501.0
Ontario,Males,All ages,Number of divorces,Number,21942.0
Ontario,Males,Under 20 years,Number of divorces,Number,6.0
Ontario,Males,20 to 24 years,Number of divorces,Number,1143.0
Ontario,Males,25 to 29 years,Number of divorces,Number,4605.0
Ontario,Males,30 to 34 years,Number of divorces,Number,5307.0
Ontario,Males,35 to 39 years,Number of divorces,Number,3537.0
Ontario,Males,40 to 44 years,Number of divorces,Number,2433.0
Ontario,Males,45 to 49 years,Number of divorces,Number,1947.0
Ontario,Males,50 to 54 years,Number of divorces,Number,1392.0
Ontario,Males,55 to 59 years,Number of divorces,Number,858.0
Ontario,Males,60 to 64 years,Number of divorces,Number,381.0
Ontario,Males,65 years and over,Number of divorces,Number,333.0
Ontario,Females,All ages,Number of divorces,Number,21939.0
Ontario,Females,Under 20 years,Number of divorces,Number,93.0
Ontario,Females,20 to 24 years,Number of divorces,Number,2667.0
Ontario,Females,25 to 29 years,Number of divorces,Number,5631.0
Ontario,Females,30 to 34 years,Number of divorces,Number,4803.0
Ontario,Females,35 to 39 years,Number of divorces,Number,2982.0
Ontario,Females,40 to 44 years,Number of divorces,Number,2100.0
Ontario,Females,45 to 49 years,Number of divorces,Number,1581.0
Ontario,Females,50 to 54 years,Number of divorces,Number,1050.0
Ontario,Females,55 to 59 years,Number of divorces,Number,609.0
Ontario,Females,60 to 64 years,Number of divorces,Number,255.0
Ontario,Females,65 years and over,Number of divorces,Number,168.0
Ontario,Both sexes,All ages,Number of divorces,Number,45291.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,105.0
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3693.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,10554.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,10521.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,6858.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,4716.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3531.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2511.0
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1596.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,678.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,528.0
Ontario,Males,All ages,Number of divorces,Number,22647.0
Ontario,Males,Under 20 years,Number of divorces,Number,9.0
Ontario,Males,20 to 24 years,Number of divorces,Number,1095.0
Ontario,Males,25 to 29 years,Number of divorces,Number,4692.0
Ontario,Males,30 to 34 years,Number of divorces,Number,5514.0
Ontario,Males,35 to 39 years,Number of divorces,Number,3696.0
Ontario,Males,40 to 44 years,Number of divorces,Number,2577.0
Ontario,Males,45 to 49 years,Number of divorces,Number,1941.0
Ontario,Males,50 to 54 years,Number of divorces,Number,1452.0
Ontario,Males,55 to 59 years,Number of divorces,Number,912.0
Ontario,Males,60 to 64 years,Number of divorces,Number,420.0
Ontario,Males,65 years and over,Number of divorces,Number,339.0
Ontario,Females,All ages,Number of divorces,Number,22644.0
Ontario,Females,Under 20 years,Number of divorces,Number,96.0
Ontario,Females,20 to 24 years,Number of divorces,Number,2598.0
Ontario,Females,25 to 29 years,Number of divorces,Number,5862.0
Ontario,Females,30 to 34 years,Number of divorces,Number,5007.0
Ontario,Females,35 to 39 years,Number of divorces,Number,3162.0
Ontario,Females,40 to 44 years,Number of divorces,Number,2139.0
Ontario,Females,45 to 49 years,Number of divorces,Number,1590.0
Ontario,Females,50 to 54 years,Number of divorces,Number,1059.0
Ontario,Females,55 to 59 years,Number of divorces,Number,684.0
Ontario,Females,60 to 64 years,Number of divorces,Number,258.0
Ontario,Females,65 years and over,Number of divorces,Number,189.0
Ontario,Both sexes,All ages,Number of divorces,Number,43911.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,84.0
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3324.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,10113.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,10449.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,6963.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,4569.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3366.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2436.0
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1395.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,717.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,495.0
Ontario,Males,All ages,Number of divorces,Number,21954.0
Ontario,Males,Under 20 years,Number of divorces,Number,6.0
Ontario,Males,20 to 24 years,Number of divorces,Number,939.0
Ontario,Males,25 to 29 years,Number of divorces,Number,4446.0
Ontario,Males,30 to 34 years,Number of divorces,Number,5508.0
Ontario,Males,35 to 39 years,Number of divorces,Number,3759.0
Ontario,Males,40 to 44 years,Number of divorces,Number,2487.0
Ontario,Males,45 to 49 years,Number of divorces,Number,1827.0
Ontario,Males,50 to 54 years,Number of divorces,Number,1413.0
Ontario,Males,55 to 59 years,Number of divorces,Number,813.0
Ontario,Males,60 to 64 years,Number of divorces,Number,432.0
Ontario,Males,65 years and over,Number of divorces,Number,324.0
Ontario,Females,All ages,Number of divorces,Number,21957.0
Ontario,Females,Under 20 years,Number of divorces,Number,78.0
Ontario,Females,20 to 24 years,Number of divorces,Number,2385.0
Ontario,Females,25 to 29 years,Number of divorces,Number,5667.0
Ontario,Females,30 to 34 years,Number of divorces,Number,4941.0
Ontario,Females,35 to 39 years,Number of divorces,Number,3204.0
Ontario,Females,40 to 44 years,Number of divorces,Number,2082.0
Ontario,Females,45 to 49 years,Number of divorces,Number,1539.0
Ontario,Females,50 to 54 years,Number of divorces,Number,1023.0
Ontario,Females,55 to 59 years,Number of divorces,Number,582.0
Ontario,Females,60 to 64 years,Number of divorces,Number,285.0
Ontario,Females,65 years and over,Number of divorces,Number,171.0
Ontario,Both sexes,All ages,Number of divorces,Number,47934.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,60.0
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3429.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,10614.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,11337.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,8238.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,5385.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3615.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2466.0
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1470.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,741.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,579.0
Ontario,Males,All ages,Number of divorces,Number,23967.0
