Year,Location,Sex or gender,Age at divorce,Indicator,Unit Of Measure,VALUE
1974,Ontario,Females,Under 20 years,Number of divorces,Number,78.0
1974,Ontario,Females,20 to 24 years,Number of divorces,Number,2058.0
1974,Ontario,Females,25 to 29 years,Number of divorces,Number,3918.0
1974,Ontario,Females,30 to 34 years,Number of divorces,Number,2670.0
1974,Ontario,Females,35 to 39 years,Number of divorces,Number,1989.0
1974,Ontario,Females,40 to 44 years,Number of divorces,Number,1665.0
1974,Ontario,Females,45 to 49 years,Number of divorces,Number,1359.0
1974,Ontario,Females,50 to 54 years,Number of divorces,Number,894.0
1974,Ontario,Females,55 to 59 years,Number of divorces,Number,375.0
1974,Ontario,Females,60 to 64 years,Number of divorces,Number,222.0
1974,Ontario,Females,65 years and over,Number of divorces,Number,156.0
1975,Ontario,Both sexes,All ages,Number of divorces,Number,35148.0
1975,Ontario,Both sexes,Under 20 years,Number of divorces,Number,108.0
1975,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3282.0
1975,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,8796.0
1975,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,6882.0
1975,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,4887.0
1975,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,3783.0
1975,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3090.0
1975,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2106.0
1975,Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1149.0
1975,Ontario,Both sexes,60 to 64 years,Number of divorces,Number,630.0
1975,Ontario,Both sexes,65 years and over,Number of divorces,Number,432.0
1975,Ontario,Males,All ages,Number of divorces,Number,17574.0
1975,Ontario,Males,Under 20 years,Number of divorces,Number,21.0
1975,Ontario,Males,20 to 24 years,Number of divorces,Number,966.0
1975,Ontario,Males,25 to 29 years,Number of divorces,Number,4065.0
1975,Ontario,Males,30 to 34 years,Number of divorces,Number,3639.0
1975,Ontario,Males,35 to 39 years,Number of divorces,Number,2637.0
1975,Ontario,Males,40 to 44 years,Number of divorces,Number,2052.0
1975,Ontario,Males,45 to 49 years,Number of divorces,Number,1680.0
1975,Ontario,Males,50 to 54 years,Number of divorces,Number,1152.0
1975,Ontario,Males,55 to 59 years,Number of divorces,Number,666.0
1975,Ontario,Males,60 to 64 years,Number of divorces,Number,411.0
1975,Ontario,Males,65 years and over,Number of divorces,Number,285.0
1975,Ontario,Females,All ages,Number of divorces,Number,17574.0
1975,Ontario,Females,Under 20 years,Number of divorces,Number,87.0
1975,Ontario,Females,20 to 24 years,Number of divorces,Number,2316.0
1975,Ontario,Females,25 to 29 years,Number of divorces,Number,4731.0
1975,Ontario,Females,30 to 34 years,Number of divorces,Number,3243.0
1975,Ontario,Females,35 to 39 years,Number of divorces,Number,2250.0
1975,Ontario,Females,40 to 44 years,Number of divorces,Number,1734.0
1975,Ontario,Females,45 to 49 years,Number of divorces,Number,1410.0
1975,Ontario,Females,50 to 54 years,Number of divorces,Number,954.0
1975,Ontario,Females,55 to 59 years,Number of divorces,Number,483.0
1975,Ontario,Females,60 to 64 years,Number of divorces,Number,219.0
1975,Ontario,Females,65 years and over,Number of divorces,Number,147.0
1976,Ontario,Both sexes,All ages,Number of divorces,Number,37311.0
1976,Ontario,Both sexes,Under 20 years,Number of divorces,Number,126.0
1976,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3459.0
1976,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,9147.0
1976,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,7536.0
1976,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,5199.0
1976,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,4074.0
1976,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3132.0
1976,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2280.0
1976,Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1206.0
1976,Ontario,Both sexes,60 to 64 years,Number of divorces,Number,639.0
1976,Ontario,Both sexes,65 years and over,Number of divorces,Number,513.0
1976,Ontario,Males,All ages,Number of divorces,Number,18657.0
1976,Ontario,Males,Under 20 years,Number of divorces,Number,12.0
1976,Ontario,Males,20 to 24 years,Number of divorces,Number,1092.0
1976,Ontario,Males,25 to 29 years,Number of divorces,Number,4197.0
1976,Ontario,Males,30 to 34 years,Number of divorces,Number,3954.0
1976,Ontario,Males,35 to 39 years,Number of divorces,Number,2751.0
1976,Ontario,Males,40 to 44 years,Number of divorces,Number,2223.0
1976,Ontario,Males,45 to 49 years,Number of divorces,Number,1728.0
1976,Ontario,Males,50 to 54 years,Number of divorces,Number,1272.0
1976,Ontario,Males,55 to 59 years,Number of divorces,Number,690.0
1976,Ontario,Males,60 to 64 years,Number of divorces,Number,405.0
1976,Ontario,Males,65 years and over,Number of divorces,Number,333.0
1976,Ontario,Females,All ages,Number of divorces,Number,18654.0
1976,Ontario,Females,Under 20 years,Number of divorces,Number,114.0
1976,Ontario,Females,20 to 24 years,Number of divorces,Number,2367.0
1976,Ontario,Females,25 to 29 years,Number of divorces,Number,4950.0
1976,Ontario,Females,30 to 34 years,Number of divorces,Number,3582.0
1976,Ontario,Females,35 to 39 years,Number of divorces,Number,2448.0
1976,Ontario,Females,40 to 44 years,Number of divorces,Number,1851.0
1976,Ontario,Females,45 to 49 years,Number of divorces,Number,1404.0
1976,Ontario,Females,50 to 54 years,Number of divorces,Number,1008.0
1976,Ontario,Females,55 to 59 years,Number of divorces,Number,516.0
1976,Ontario,Females,60 to 64 years,Number of divorces,Number,234.0
1976,Ontario,Females,65 years and over,Number of divorces,Number,180.0
1977,Ontario,Both sexes,All ages,Number of divorces,Number,39618.0
1977,Ontario,Both sexes,Under 20 years,Number of divorces,Number,117.0
1977,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3738.0
1977,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,9147.0
1977,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,8544.0
1977,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,5637.0
1977,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,4191.0
1977,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3462.0
1977,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2328.0
1977,Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1296.0
1977,Ontario,Both sexes,60 to 64 years,Number of divorces,Number,639.0
1977,Ontario,Both sexes,65 years and over,Number of divorces,Number,519.0
1977,Ontario,Males,All ages,Number of divorces,Number,19809.0
1977,Ontario,Males,Under 20 years,Number of divorces,Number,15.0
1977,Ontario,Males,20 to 24 years,Number of divorces,Number,1125.0
1977,Ontario,Males,25 to 29 years,Number of divorces,Number,4191.0
1977,Ontario,Males,30 to 34 years,Number of divorces,Number,4458.0
1977,Ontario,Males,35 to 39 years,Number of divorces,Number,3081.0
1977,Ontario,Males,40 to 44 years,Number of divorces,Number,2256.0
1977,Ontario,Males,45 to 49 years,Number of divorces,Number,1917.0
1977,Ontario,Males,50 to 54 years,Number of divorces,Number,1290.0
1977,Ontario,Males,55 to 59 years,Number of divorces,Number,759.0
1977,Ontario,Males,60 to 64 years,Number of divorces,Number,384.0
1977,Ontario,Males,65 years and over,Number of divorces,Number,333.0
1977,Ontario,Females,All ages,Number of divorces,Number,19809.0
1977,Ontario,Females,Under 20 years,Number of divorces,Number,102.0
1977,Ontario,Females,20 to 24 years,Number of divorces,Number,2613.0
1977,Ontario,Females,25 to 29 years,Number of divorces,Number,4956.0
1977,Ontario,Females,30 to 34 years,Number of divorces,Number,4086.0
1977,Ontario,Females,35 to 39 years,Number of divorces,Number,2556.0
1977,Ontario,Females,40 to 44 years,Number of divorces,Number,1935.0
1977,Ontario,Females,45 to 49 years,Number of divorces,Number,1545.0
1977,Ontario,Females,50 to 54 years,Number of divorces,Number,1038.0
1977,Ontario,Females,55 to 59 years,Number of divorces,Number,537.0
1977,Ontario,Females,60 to 64 years,Number of divorces,Number,255.0
1977,Ontario,Females,65 years and over,Number of divorces,Number,186.0
1978,Ontario,Both sexes,All ages,Number of divorces,Number,41385.0
1978,Ontario,Both sexes,Under 20 years,Number of divorces,Number,126.0
1978,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3852.0
1978,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,9624.0
1978,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,9021.0
1978,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,6102.0
1978,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,4317.0
1978,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3450.0
1978,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2364.0
1978,Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1380.0
1978,Ontario,Both sexes,60 to 64 years,Number of divorces,Number,645.0
1978,Ontario,Both sexes,65 years and over,Number of divorces,Number,504.0
1978,Ontario,Males,All ages,Number of divorces,Number,20691.0
1978,Ontario,Males,Under 20 years,Number of divorces,Number,9.0
1978,Ontario,Males,20 to 24 years,Number of divorces,Number,1203.0
1978,Ontario,Males,25 to 29 years,Number of divorces,Number,4371.0
1978,Ontario,Males,30 to 34 years,Number of divorces,Number,4704.0
1978,Ontario,Males,35 to 39 years,Number of divorces,Number,3282.0
1978,Ontario,Males,40 to 44 years,Number of divorces,Number,2361.0
1978,Ontario,Males,45 to 49 years,Number of divorces,Number,1890.0
1978,Ontario,Males,50 to 54 years,Number of divorces,Number,1344.0
1978,Ontario,Males,55 to 59 years,Number of divorces,Number,816.0
1978,Ontario,Males,60 to 64 years,Number of divorces,Number,381.0
1978,Ontario,Males,65 years and over,Number of divorces,Number,330.0
1978,Ontario,Females,All ages,Number of divorces,Number,20694.0
1978,Ontario,Females,Under 20 years,Number of divorces,Number,117.0
1978,Ontario,Females,20 to 24 years,Number of divorces,Number,2649.0
1978,Ontario,Females,25 to 29 years,Number of divorces,Number,5253.0
1978,Ontario,Females,30 to 34 years,Number of divorces,Number,4317.0
1978,Ontario,Females,35 to 39 years,Number of divorces,Number,2820.0
1978,Ontario,Females,40 to 44 years,Number of divorces,Number,1956.0
1978,Ontario,Females,45 to 49 years,Number of divorces,Number,1560.0
1978,Ontario,Females,50 to 54 years,Number of divorces,Number,1020.0
1978,Ontario,Females,55 to 59 years,Number of divorces,Number,564.0
1978,Ontario,Females,60 to 64 years,Number of divorces,Number,264.0
1978,Ontario,Females,65 years and over,Number of divorces,Number,174.0
1979,Ontario,Both sexes,All ages,Number of divorces,Number,43881.0
1979,Ontario,Both sexes,Under 20 years,Number of divorces,Number,99.0
1979,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3810.0
1979,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,10236.0
1979,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,10110.0
1979,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,6519.0
1979,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,4533.0
1979,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3528.0
1979,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2442.0
1979,Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1467.0
1979,Ontario,Both sexes,60 to 64 years,Number of divorces,Number,636.0
1979,Ontario,Both sexes,65 years and over,Number of divorces,Number,501.0
1979,Ontario,Males,All ages,Number of divorces,Number,21942.0
1979,Ontario,Males,Under 20 years,Number of divorces,Number,6.0
1979,Ontario,Males,20 to 24 years,Number of divorces,Number,1143.0
1979,Ontario,Males,25 to 29 years,Number of divorces,Number,4605.0
1979,Ontario,Males,30 to 34 years,Number of divorces,Number,5307.0
1979,Ontario,Males,35 to 39 years,Number of divorces,Number,3537.0
1979,Ontario,Males,40 to 44 years,Number of divorces,Number,2433.0
1979,Ontario,Males,45 to 49 years,Number of divorces,Number,1947.0
1979,Ontario,Males,50 to 54 years,Number of divorces,Number,1392.0
1979,Ontario,Males,55 to 59 years,Number of divorces,Number,858.0
1979,Ontario,Males,60 to 64 years,Number of divorces,Number,381.0
1979,Ontario,Males,65 years and over,Number of divorces,Number,333.0
1979,Ontario,Females,All ages,Number of divorces,Number,21939.0
1979,Ontario,Females,Under 20 years,Number of divorces,Number,93.0
1979,Ontario,Females,20 to 24 years,Number of divorces,Number,2667.0
1979,Ontario,Females,25 to 29 years,Number of divorces,Number,5631.0
1979,Ontario,Females,30 to 34 years,Number of divorces,Number,4803.0
1979,Ontario,Females,35 to 39 years,Number of divorces,Number,2982.0
1979,Ontario,Females,40 to 44 years,Number of divorces,Number,2100.0
1979,Ontario,Females,45 to 49 years,Number of divorces,Number,1581.0
1979,Ontario,Females,50 to 54 years,Number of divorces,Number,1050.0
1979,Ontario,Females,55 to 59 years,Number of divorces,Number,609.0
1979,Ontario,Females,60 to 64 years,Number of divorces,Number,255.0
1979,Ontario,Females,65 years and over,Number of divorces,Number,168.0
1980,Ontario,Both sexes,All ages,Number of divorces,Number,45291.0
1980,Ontario,Both sexes,Under 20 years,Number of divorces,Number,105.0
1980,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3693.0
1980,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,10554.0
1980,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,10521.0
1980,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,6858.0
1980,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,4716.0
1980,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3531.0
1980,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2511.0
1980,Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1596.0
1980,Ontario,Both sexes,60 to 64 years,Number of divorces,Number,678.0
1980,Ontario,Both sexes,65 years and over,Number of divorces,Number,528.0
1980,Ontario,Males,All ages,Number of divorces,Number,22647.0
1980,Ontario,Males,Under 20 years,Number of divorces,Number,9.0
1980,Ontario,Males,20 to 24 years,Number of divorces,Number,1095.0
1980,Ontario,Males,25 to 29 years,Number of divorces,Number,4692.0
1980,Ontario,Males,30 to 34 years,Number of divorces,Number,5514.0
1980,Ontario,Males,35 to 39 years,Number of divorces,Number,3696.0
1980,Ontario,Males,40 to 44 years,Number of divorces,Number,2577.0
1980,Ontario,Males,45 to 49 years,Number of divorces,Number,1941.0
1980,Ontario,Males,50 to 54 years,Number of divorces,Number,1452.0
1980,Ontario,Males,55 to 59 years,Number of divorces,Number,912.0
1980,Ontario,Males,60 to 64 years,Number of divorces,Number,420.0
1980,Ontario,Males,65 years and over,Number of divorces,Number,339.0
1980,Ontario,Females,All ages,Number of divorces,Number,22644.0
1980,Ontario,Females,Under 20 years,Number of divorces,Number,96.0
1980,Ontario,Females,20 to 24 years,Number of divorces,Number,2598.0
1980,Ontario,Females,25 to 29 years,Number of divorces,Number,5862.0
1980,Ontario,Females,30 to 34 years,Number of divorces,Number,5007.0
1980,Ontario,Females,35 to 39 years,Number of divorces,Number,3162.0
1980,Ontario,Females,40 to 44 years,Number of divorces,Number,2139.0
1980,Ontario,Females,45 to 49 years,Number of divorces,Number,1590.0
1980,Ontario,Females,50 to 54 years,Number of divorces,Number,1059.0
1980,Ontario,Females,55 to 59 years,Number of divorces,Number,684.0
1980,Ontario,Females,60 to 64 years,Number of divorces,Number,258.0
1980,Ontario,Females,65 years and over,Number of divorces,Number,189.0
1981,Ontario,Both sexes,All ages,Number of divorces,Number,43911.0
1981,Ontario,Both sexes,Under 20 years,Number of divorces,Number,84.0
1981,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3324.0
1981,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,10113.0
1981,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,10449.0
1981,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,6963.0
1981,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,4569.0
1981,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3366.0
1981,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2436.0
